Theta,Phi
-34.847,-164.967
-34.804,-164.911
-34.762,-164.856
-34.677,-164.746
-34.635,-164.691
-34.593,-164.636
-34.550,-164.581
-34.508,-164.526
-34.465,-164.471
-34.423,-164.416
-34.380,-164.362
-34.338,-164.307
-34.295,-164.252
-34.209,-164.144
-34.167,-164.089
-34.124,-164.035
-34.081,-163.981
-34.039,-163.926
-33.996,-163.872
-33.953,-163.818
-33.910,-163.764
-33.867,-163.710
-33.781,-163.602
-33.738,-163.548
-33.695,-163.494
-33.652,-163.441
-33.609,-163.387
-33.566,-163.334
-33.523,-163.280
-33.480,-163.227
-33.437,-163.173
-33.393,-163.120
-33.307,-163.013
-33.264,-162.960
-33.220,-162.907
-33.177,-162.854
-33.134,-162.801
-33.090,-162.748
-33.047,-162.695
-33.003,-162.642
-32.960,-162.589
-32.916,-162.537
-32.829,-162.432
-32.786,-162.379
-32.742,-162.326
-32.699,-162.274
-32.655,-162.222
-32.611,-162.169
-32.568,-162.117
-32.524,-162.065
-32.480,-162.012
-32.436,-161.961
-32.349,-161.856
-32.305,-161.804
-32.261,-161.752
-32.217,-161.701
-32.173,-161.649
-32.129,-161.597
-32.085,-161.546
-32.041,-161.494
-31.997,-161.442
-31.953,-161.391
-31.865,-161.288
-31.821,-161.236
-31.777,-161.185
-31.732,-161.134
-31.688,-161.083
-31.644,-161.032
-31.600,-160.981
-31.556,-160.929
-31.511,-160.878
-31.467,-160.828
-31.378,-160.726
-31.334,-160.675
-31.290,-160.624
-31.245,-160.574
-31.201,-160.523
-31.156,-160.472
-31.112,-160.422
-31.067,-160.371
-31.023,-160.321
-30.934,-160.220
-30.889,-160.170
-30.844,-160.120
-30.800,-160.069
-30.755,-160.019
-30.710,-159.969
-30.666,-159.919
-30.621,-159.869
-30.576,-159.819
-30.531,-159.769
-30.442,-159.670
-30.397,-159.620
-30.352,-159.571
-30.307,-159.521
-30.262,-159.471
-30.217,-159.422
-30.172,-159.372
-30.127,-159.323
-30.082,-159.274
-30.037,-159.224
-29.947,-159.126
-29.902,-159.076
-29.857,-159.028
-29.812,-158.978
-29.766,-158.929
-29.721,-158.880
-29.676,-158.831
-29.631,-158.783
-29.586,-158.734
-29.540,-158.685
-29.450,-158.587
-29.404,-158.539
-29.359,-158.490
-29.314,-158.441
-29.268,-158.393
-29.223,-158.344
-29.177,-158.296
-29.132,-158.248
-29.086,-158.199
-29.041,-158.151
-28.950,-158.055
-28.904,-158.006
-28.859,-157.958
-28.813,-157.910
-28.768,-157.862
-28.722,-157.814
-28.676,-157.766
-28.631,-157.719
-28.585,-157.671
-28.493,-157.575
-28.448,-157.528
-28.402,-157.480
-28.356,-157.432
-28.310,-157.385
-28.264,-157.337
-28.218,-157.290
-28.172,-157.242
-28.127,-157.195
-28.081,-157.147
-27.989,-157.053
-27.943,-157.006
-27.897,-156.959
-27.851,-156.911
-27.805,-156.864
-27.759,-156.818
-27.713,-156.770
-27.667,-156.723
